Date,BIL,GSG,GVI,IYR,JEDAX,JKD,LQD,MDY,MUB,PIGLX,VFINX,VIGRX,VISVX,VUSTX,^RUT
2013-10-23,87.32907104492188,31.860000610351562,96.29794311523438,51.93195724487305,6.179147243499756,88.61402130126953,91.04773712158203,213.81686401367188,88.02970123291016,7.8462066650390625,141.32980346679688,41.84262466430664,19.509647369384766,8.884921073913574,1110.9300537109375
2013-10-24,87.30999755859375,31.799999237060547,96.27181243896484,51.893531799316406,6.164456367492676,88.86372375488281,90.95310974121094,214.20904541015625,88.32378387451172,7.854462623596191,141.7946014404297,42.093021392822266,19.59654426574707,8.846924781799316,1118.8499755859375
2013-10-25,87.32907104492188,31.979999542236328,96.30665588378906,52.400779724121094,6.164456367492676,89.40615844726562,90.94517517089844,214.8930206298828,88.3489990234375,7.854462623596191,142.41729736328125,42.24140167236328,19.6486873626709,8.877321243286133,1118.3399658203125
2013-10-28,87.32907104492188,32.18000030517578,96.30665588378906,52.03954315185547,6.164456367492676,89.67306518554688,91.03196716308594,214.61949157714844,88.47492980957031,7.8462066650390625,142.61021423339844,42.23211669921875,19.6486873626709,8.846924781799316,1117.969970703125
2013-10-29,87.30999755859375,32.09000015258789,96.37643432617188,51.601470947265625,6.149763584136963,90.14661407470703,91.15813446044922,215.68653869628906,88.5758056640625,7.829685688018799,143.4082794189453,42.4361457824707,19.709524154663086,8.862123489379883,1121.0699462890625
2013-10-30,87.30999755859375,32.11000061035156,96.3851318359375,51.22487258911133,6.157108783721924,89.78500366210938,90.97675323486328,214.08132934570312,88.53376770019531,7.813169002532959,142.7242431640625,42.204307556152344,19.544403076171875,8.816527366638184,1105.5
2013-10-31,87.30999755859375,31.90999984741211,96.30665588378906,50.855960845947266,6.141604900360107,89.5180892944336,90.85054016113281,213.88986206054688,88.62620544433594,7.816479682922363,142.18930053710938,42.10228729248047,19.500959396362305,8.848535537719727,1100.1500244140625
2013-11-01,87.30999755859375,31.3799991607666,96.13993072509766,51.17875289916992,6.12684440612793,89.80223083496094,90.60530090332031,214.08132934570312,88.31199645996094,7.783360958099365,142.5926971435547,42.18574905395508,19.509647369384766,8.757075309753418,1095.6700439453125
2013-11-04,87.30999755859375,31.1200008392334,96.21852111816406,51.2479362487793,6.1120805740356445,89.98304748535156,90.6290512084961,215.67742919921875,88.37937927246094,7.791637420654297,143.11012268066406,42.27849197387695,19.683446884155273,8.764695167541504,1108.280029296875
2013-11-05,87.30999755859375,31.020000457763672,96.10501098632812,50.471683502197266,6.0677900314331055,89.91415405273438,90.24127960205078,214.30938720703125,88.22776794433594,7.775082111358643,142.71546936035156,42.157936096191406,19.570480346679688,8.665618896484375,1103.5899658203125
2013-11-06,87.32907104492188,31.09000015258789,96.21852111816406,50.46400833129883,6.0604095458984375,90.41353607177734,90.3442153930664,214.09962463378906,88.28672790527344,7.783360958099365,143.4082794189453,42.176490783691406,19.544403076171875,8.673242568969727,1098.6300048828125
