Date,BIL,CBFSX,GVI,HYG,ILTB,IYR,JKD,MDY,MUB,VIGRX,VISVX
2020-02-12,91.31424713134766,10.3219633102417,112.0325698852539,84.6875228881836,69.0382308959961,96.5360336303711,191.57687377929688,376.77392578125,113.4539566040039,101.843994140625,32.57944869995117
2020-02-13,91.32422637939453,10.331774711608887,112.08182525634766,84.71626281738281,69.0867919921875,97.1912841796875,191.30029296875,378.0497131347656,113.4539566040039,101.91361236572266,32.61894226074219
2020-02-14,91.32422637939453,10.351397514343262,112.23938751220703,84.7066650390625,69.43656921386719,98.07145690917969,191.46820068359375,377.8716735839844,113.60126495361328,102.44068145751953,32.549835205078125
2020-02-18,91.3342056274414,10.371020317077637,112.32801055908203,84.53418731689453,69.7668685913086,98.00300598144531,190.0458221435547,376.7442321777344,113.70930480957031,102.49040222167969,32.43136215209961
2020-02-19,91.3342056274414,10.371020317077637,112.23938751220703,84.57252502441406,69.67945098876953,96.770751953125,191.20150756835938,378.2574157714844,113.79769134521484,103.21636962890625,32.47085189819336
2020-02-20,91.3342056274414,10.390645980834961,112.40678405761719,84.71626281738281,70.03892517089844,97.81718444824219,190.65826416015625,379.79034423828125,113.94501495361328,102.57991027832031,32.59919738769531
2020-02-21,91.35417175292969,10.420080184936523,112.61357879638672,84.63961029052734,70.48583221435547,98.00300598144531,189.28526306152344,375.7552795410156,114.24946594238281,100.89924621582031,32.31289291381836
2020-02-24,91.34419250488281,10.44951343536377,112.98777770996094,83.72928619384766,70.8453140258789,96.69252014160156,183.2104949951172,364.5401916503906,114.74053192138672,97.24952697753906,31.38487434387207
2020-02-25,91.34419250488281,10.44951343536377,113.14532470703125,83.144775390625,71.02017974853516,94.10088348388672,177.29380798339844,351.7822570800781,114.84856414794922,94.42522430419922,30.279146194458008
2020-02-26,91.36415100097656,10.431817054748535,113.1354751586914,83.23102569580078,70.61212921142578,93.11312866210938,177.06661987304688,346.629638671875,114.7994613647461,94.40534210205078,29.75589942932129
2020-02-27,91.38412475585938,10.412155151367188,113.2142562866211,82.10989379882812,70.55384826660156,88.23302459716797,168.67062377929688,333.9310302734375,114.84856414794922,90.03960418701172,28.65017318725586
2020-02-28,91.37413787841797,10.46131420135498,113.77555847167969,82.44526672363281,71.71968841552734,85.47513580322266,167.10006713867188,327.44329833984375,114.62267303466797,89.97993469238281,28.136798858642578
2020-03-02,91.40111541748047,10.431817054748535,113.81796264648438,83.07087707519531,71.37098693847656,89.5924072265625,174.7552490234375,338.3913879394531,114.78797912597656,94.23627471923828,29.035202026367188
2020-03-03,91.42110443115234,10.54980182647705,114.5775375366211,82.71477508544922,72.30609893798828,89.60218811035156,170.3596954345703,330.964111328125,114.9159164428711,91.5810317993164,28.373741149902344
2020-03-04,91.46107482910156,10.530138969421387,114.66632843017578,83.85047912597656,72.24765014648438,93.02510070800781,178.20254516601562,342.4759216308594,114.78797912597656,95.28047180175781,29.282014846801758
2020-03-05,91.48106384277344,10.59896183013916,114.8143081665039,82.79176330566406,72.91976928710938,91.00070190429688,171.8907470703125,330.10369873046875,114.9159164428711,92.10810852050781,28.097307205200195
2020-03-06,91.48106384277344,10.638290405273438,114.97212982177734,81.8581771850586,74.96533203125,89.45549011230469,169.5200958251953,324.6445007324219,114.93560028076172,90.37771606445312,27.564191818237305
2020-03-09,91.52102661132812,10.42198657989502,115.3174057006836,78.33553314208984,74.5464859008789,82.82481384277344,157.23231506347656,294.0353698730469,115.73267364501953,83.71475219726562,24.926910400390625
2020-03-10,91.50104522705078,10.294170379638672,114.1336441040039,79.53861236572266,71.77034759521484,86.02278900146484,164.31459045410156,305.9229736328125,114.48294830322266,88.31916046142578,25.857831954956055
2020-03-11,91.52102661132812,10.166351318359375,113.61080932617188,77.8061752319336,69.70528411865234,81.01555633544922,157.00511169433594,285.7279052734375,112.77070617675781,84.1324234008789,24.1346378326416
2020-03-12,91.53101348876953,9.95004653930664,111.48005676269531,74.69738006591797,66.23756408691406,73.12328338623047,140.78602600097656,255.19789123535156,107.30931854248047,76.5147705078125,21.44090461730957
2020-03-13,91.5510025024414,9.88122272491455,112.70328521728516,77.04582977294922,67.7863540649414,79.36277770996094,153.49856567382812,278.9632263183594,109.73004913330078,83.43630981445312,23.213619232177734
2020-03-16,91.56099700927734,9.88122272491455,113.08799743652344,72.8109359741211,68.84809875488281,65.97428131103516,134.26678466796875,240.8872833251953,108.244140625,72.78549194335938,19.995006561279297
2020-03-17,91.56099700927734,9.546932220458984,110.69088745117188,73.49429321289062,65.14659118652344,69.074462890625,140.341552734375,253.88253784179688,108.95264434814453,76.79322052001953,20.9061222076416
2020-03-18,91.58097839355469,9.173312187194824,108.85606384277344,70.25076293945312,60.90933609008789,62.27753448486328,132.9827117919922,228.48538208007812,102.25135803222656,73.11366271972656,18.63823890686035
2020-03-19,91.56099700927734,8.996335983276367,108.44176483154297,68.67230987548828,60.25669860839844,62.3068733215332,134.3655548095703,237.08956909179688,99.89949035644531,74.40648651123047,19.559255599975586
2020-03-20,91.59097290039062,9.016000747680664,109.1717300415039,67.13236236572266,62.195133209228516,59.578311920166016,127.94509887695312,227.7796630859375,100.66705322265625,71.49267578125,18.64813995361328
2020-03-23,91.57099151611328,9.065160751342773,111.4603271484375,66.05438232421875,66.03301239013672,56.5661506652832,123.95452880859375,219.4335479736328,102.57608795166016,70.46836853027344,17.964805603027344
2020-03-24,91.57099151611328,9.163481712341309,111.06574249267578,68.77818298339844,66.70512390136719,61.094181060791016,136.6472930908203,243.71678161621094,104.81968688964844,76.93244171142578,19.806840896606445
2020-03-25,91.57099151611328,9.35029125213623,112.45665740966797,70.71276092529297,68.51692962646484,64.44841766357422,139.23291015625,251.19850158691406,109.41514587402344,77.3530502319336,20.519887924194336
