Date,BIL,VGTSX
2013-01-30,87.34811401367188,12.491435050964355
2013-01-31,87.36717987060547,12.483369827270508
2013-02-01,87.34811401367188,12.572074890136719
2013-02-04,87.34811401367188,12.386600494384766
2013-02-05,87.36717987060547,12.451111793518066
2013-02-06,87.36717987060547,12.426920890808105
2013-02-07,87.36717987060547,12.346280097961426
2013-02-08,87.36717987060547,12.410791397094727
2013-02-11,87.36717987060547,12.386600494384766
2013-02-12,87.36717987060547,12.443050384521484
2013-02-13,87.34811401367188,12.475303649902344
2013-02-14,87.36717987060547,12.426920890808105
2013-02-15,87.34811401367188,12.402729988098145
2013-02-19,87.34811401367188,12.515626907348633
2013-02-20,87.36717987060547,12.378535270690918
2013-02-21,87.34811401367188,12.233382225036621
2013-02-22,87.36717987060547,12.370468139648438
2013-02-25,87.34811401367188,12.176931381225586
2013-02-26,87.34811401367188,12.217253684997559
2013-02-27,87.36717987060547,12.346280097961426
2013-02-28,87.36717987060547,12.330150604248047
2013-03-01,87.36717987060547,12.338216781616211
2013-03-04,87.34811401367188,12.330150604248047
2013-03-05,87.36717987060547,12.451111793518066
2013-03-06,87.34811401367188,12.467244148254395
2013-03-07,87.36717987060547,12.499499320983887
2013-03-08,87.34811401367188,12.523693084716797
2013-03-11,87.36717987060547,12.564011573791504
2013-03-12,87.34811401367188,12.515626907348633
2013-03-13,87.36717987060547,12.451111793518066
2013-03-14,87.36717987060547,12.555947303771973
2013-03-15,87.36717987060547,12.572074890136719
2013-03-18,87.34811401367188,12.434986114501953
2013-03-19,87.34811401367188,12.386600494384766
2013-03-20,87.34811401367188,12.45917797088623
2013-03-21,87.34811401367188,12.375916481018066
2013-03-22,87.36717987060547,12.432502746582031
2013-03-25,87.34811401367188,12.351666450500488
2013-03-26,87.36717987060547,12.424417495727539
2013-03-27,87.34811401367188,12.38399887084961
2013-03-28,87.36717987060547,12.440585136413574
2013-04-01,87.34811401367188,12.327415466308594
2013-04-02,87.36717987060547,12.408249855041504
2013-04-03,87.34811401367188,12.303167343139648
2013-04-04,87.34811401367188,12.35975170135498
2013-04-05,87.36717987060547,12.278913497924805
2013-04-08,87.36717987060547,12.319331169128418
2013-04-09,87.36717987060547,12.392084121704102
2013-04-10,87.36717987060547,12.553757667541504
2013-04-11,87.34811401367188,12.610339164733887
2013-04-12,87.36717987060547,12.561837196350098
2013-04-15,87.36717987060547,12.278913497924805
2013-04-16,87.36717987060547,12.472920417785645
2013-04-17,87.36717987060547,12.222331047058105
2013-04-18,87.34811401367188,12.206161499023438
