Date,close,high,low,open,volume
1/17/2006,3.025357246,3.085000038,2.995357037,3.060714245,835623600
1/18/2006,2.946071386,3.001785755,2.923214197,2.96714282,1200637200
1/19/2006,2.822857141,2.916428566,2.812142849,2.901785612,1695848000
1/20/2006,2.717499971,2.858571529,2.708214283,2.831428528,1134758800
1/23/2006,2.773928642,2.841428518,2.714285612,2.717857122,1059730000
1/24/2006,2.715714216,2.836428642,2.706071377,2.812857151,1142254400
1/25/2006,2.650000095,2.767857075,2.616071463,2.763928652,1275786400
1/26/2006,2.583214283,2.69392848,2.56892848,2.661785603,1181387200
1/27/2006,2.57249999,2.62857151,2.53928566,2.60535717,953864800
1/30/2006,2.678571463,2.735714197,2.531071424,2.541785717,1398401200
1/31/2006,2.696785688,2.726428509,2.633928537,2.696428537,913542000
2/1/2006,2.693571329,2.730714321,2.665714264,2.676785707,521186400
2/2/2006,2.575000048,2.691428661,2.573214293,2.682142973,707322000
2/3/2006,2.56607151,2.599642754,2.537142754,2.579999924,692123600
2/6/2006,2.403571367,2.589642763,2.383571386,2.572142839,1651767600
2/7/2006,2.41428566,2.481428623,2.38142848,2.438214302,1388830800
2/8/2006,2.457499981,2.46714282,2.357142925,2.446071386,953114400
2/9/2006,2.319642782,2.472500086,2.304642916,2.467857122,1149764000
2/10/2006,2.403928518,2.416785717,2.24642849,2.327857256,1760477600
2/13/2006,2.311071396,2.383928537,2.308571339,2.379642963,883498000
2/14/2006,2.415714264,2.432142973,2.321428537,2.325000048,1160938800
2/15/2006,2.472142935,2.486428499,2.383928537,2.398571491,1159771200
2/16/2006,2.520357132,2.536071539,2.481428623,2.496785641,948175200
2/17/2006,2.510357141,2.531785727,2.486071348,2.510714293,575999200
2/21/2006,2.46714282,2.528571367,2.452857256,2.521071434,779606800
2/22/2006,2.547142744,2.559642792,2.428571463,2.464285612,978238800
2/23/2006,2.5625,2.607142925,2.551071405,2.563928604,856917600
2/24/2006,2.552142859,2.603214264,2.54285717,2.576428652,534744000
2/27/2006,2.535357237,2.57571435,2.52321434,2.571071386,791240800
2/28/2006,2.446071386,2.58571434,2.432142973,2.556428671,1266980400
3/1/2006,2.467857122,2.481785774,2.429285765,2.458571434,763817600
3/2/2006,2.486071348,2.499642849,2.452500105,2.463928461,625273600
3/3/2006,2.418571472,2.496785641,2.411785603,2.478571415,737668400
3/6/2006,2.33857131,2.418571472,2.319285631,2.417500019,912665600
3/7/2006,2.368214369,2.389285803,2.324285746,2.348571539,872877600
3/8/2006,2.345000029,2.400000095,2.333928585,2.367500067,653251200
3/9/2006,2.283214331,2.373928547,2.278928518,2.356428623,799304800
3/10/2006,2.256785631,2.303214312,2.23035717,2.287499905,1043142800
3/13/2006,2.345714331,2.367142916,2.313928604,2.323214293,861187600
3/14/2006,2.404285669,2.404285669,2.339285612,2.34892869,642020400
3/15/2006,2.365357161,2.430000067,2.339999914,2.418214321,891996000
3/16/2006,2.296785831,2.389285803,2.29642868,2.387500048,749638400
3/17/2006,2.309285641,2.340714216,2.289642811,2.3125,812042000
3/20/2006,2.285357237,2.337857246,2.281071424,2.329285622,605441200
3/21/2006,2.207499981,2.297857046,2.192500114,2.207499981,1345366400
3/22/2006,2.202500105,2.258928537,2.188214302,2.220000029,1345895600
3/23/2006,2.148571491,2.21071434,2.128928661,2.207857132,1427826400
3/24/2006,2.141428471,2.176428556,2.108214378,2.151785612,1071980000
3/27/2006,2.125357151,2.192142963,2.12142849,2.155357122,1108072000
3/28/2006,2.096785784,2.147857189,2.080357075,2.129642963,1370322800
3/29/2006,2.226071358,2.232857227,2.059642792,2.11178565,2346834000
3/30/2006,2.241071463,2.260714293,2.19749999,2.24357152,1390650800
3/31/2006,2.24000001,2.271785736,2.222857237,2.258928537,815357200
4/3/2006,2.237499952,2.289999962,2.236071348,2.273928642,815791200
4/4/2006,2.184642792,2.222142935,2.180357218,2.217857122,931924000
